title,genre,total_sales,na_sales,release_date
The Adventures of Tintin: The Game,Adventure,0.01,0.0,2011-12-06
X-Men Legends II: Rise of Apocalypse,Role-Playing,0.01,0.01,2005-09-20
Nancy Drew: The Phantom of Venice,Adventure,0.01,0.0,2008-07-11
Twisted Lands: Insomniac,Adventure,0.01,0.01,2011-10-19
Icewind Dale II,Role-Playing,0.01,0.0,2002-09-04
Dungeon Siege II: Broken World,Role-Playing,0.01,0.01,2006-08-01
Myst IV: Revelation,Adventure,0.01,0.01,2004-09-28
Blitzkrieg,Strategy,0.0,0.0,2003-05-12
Tiny Token Empires,Strategy,0.0,0.0,2011-10-18
Zoo Tycoon 2: Zookeeper Collection,Strategy,0.0,0.0,2006-10-01
The Sims 3: Showtime,Simulation,0.0,0.0,2012-03-06
Zoo Tycoon 2: African Adventure,Strategy,0.0,0.0,2006-05-22
Spore Creepy & Cute Parts Pack,Strategy,0.0,0.0,2008-11-17
Tom Clancy's Rainbow Six Vegas,Shooter,0.0,0.0,2006-12-12
SWAT 4: The Stetchkov Syndicate,Shooter,0.0,0.0,2006-02-28
Cars 2,Racing,0.0,0.0,2011-06-21
John Daly's ProStroke Golf,Sports,0.0,0.0,2010-10-05
The Amazing Spider-Man (2012),Action-Adventure,0.0,0.0,2012-08-10
Tiger Woods PGA Tour 2004,Sports,0.0,0.0,2003-09-22
FlatOut,Racing,0.0,0.0,2005-07-12
Cabela's Outdoor Adventures (2009),Sports,0.0,0.0,2009-10-13
Twin Sector,Action,0.0,0.0,2010-01-23
From Dust,Adventure,0.0,0.0,2011-08-17
Bee Movie Game,Action,0.0,0.0,2007-10-30
True Crime: New York City,Action,0.0,0.0,2006-03-24
Arcanum: Of Steamworks and Magick Obscura,Role-Playing,0.0,0.0,2001-08-22
Mount & Blade: With Fire & Sword,Role-Playing,0.0,0.0,2011-05-03
Age of Pirates 2: City of Abandoned Ships,Role-Playing,0.0,0.0,2009-05-26
The SpongeBob SquarePants Movie,Platform,0.0,0.0,2004-10-27
Disney Epic Mickey 2: The Power of Two,Platform,0.0,0.0,2012-11-18
Tumblebugs 2,Puzzle,0.0,0.0,2008-10-21
Superstars V8 Next Challenge,Racing,0.0,0.0,2011-01-25
Elemental: War of Magic,Strategy,0.0,0.0,2010-08-24
